SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP
Universal,EQ,81,81.5,79.3,80,80,79.8,9848,789543.1,21-Jun-03
Kida,EQ,278,285,265.6,277.5,281.8,261.6,185608,51401468.45,21-Jul-03
ABB,EQ,379,379,368.65,371.4,368.65,374,16512,6161002.85,27-Jul-03
ABC,EQ,8.55,8.75,8.5,8.5,8.5,8.6,17203,146695.05,27-Jul-03
XYZ,EQ,115,117,111.9,115.1,115.5,112.75,60353,6896927.4,27-Jul-03
ACC,EQ,167,171.65,165.05,170.7,170.65,167.8,1932626,326570171.9,27-Jul-03
